"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"2",10,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
"3",10,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0
"4",10,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
"5",10,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0
"6",13,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
"7",8,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0
"8",12,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
"9",9,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
"10",8,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
"11",8,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"12",7,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
"13",13,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
"14",9,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"15",6,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"16",9,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
"17",8,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"18",10,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0
"19",10,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0
"20",6,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"21",9,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
