"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",8,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
"2",12,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0
"3",11,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0
"4",10,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0
"5",11,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
"6",8,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
"7",9,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0
"8",10,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
"9",10,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
"10",12,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
"11",7,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
"12",8,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"13",10,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0
"14",14,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0
"15",10,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0
"16",9,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0
"17",7,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
"18",7,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
"19",9,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"20",10,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0
"21",10,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
"22",8,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
"23",10,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
"24",9,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"25",8,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
"26",12,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0
"27",9,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
"28",12,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0
