"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"2",9,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"3",12,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0
"4",11,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0
"5",10,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
"6",8,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
"7",10,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0
"8",7,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"9",8,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
"10",10,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0
"11",3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"12",4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"13",8,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
"14",9,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
"15",6,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"16",8,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0
"17",9,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
"18",12,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0
"19",6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"20",9,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
"21",11,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0
"22",7,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"23",6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"24",8,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"25",7,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0
