"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3",2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"5",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",6,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"9",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"11",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"15",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"16",2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"18",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"19",3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"22",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"23",2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"24",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"25",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"33",4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",5,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"36",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"44",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"57",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"59",3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"62",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"63",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
