"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",6,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"17",3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"18",3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"19",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"23",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"25",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"27",3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"28",6,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"29",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"33",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"37",4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"38",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"41",3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"42",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43",5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"44",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46",3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"52",3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
